,Name,Brand,Price,Body,Transmission,Number Of Seats,Segment,Introduction,Drive,Drive System,Fuel,Cylinder Capacity,Max Power Hp,Max Torque,Fuel System,Valve Actuation,Turbo,Fuel Tank,Top Speed,Energy Label,Front Stabilizer,Rear Stabilizer,Num_doors,Dt_Transmission
0,HYUNDAI I20 1 2 MPI I MOTION,HYUNDAI,17147.000000000004, hatchback,5.0,5,b,2020,front,fuel engine,gasoline,4.0,84.0,118.0,direct injection,dohc,no,40.0,173.0,b,yes,no,5,manual transmission
1,MERCEDES BENZ S 450 4MATIC,MERCEDES,134188.0, sedan,9.0,5,f,2020,front+rear,fuel engine,gasoline,4.0,367.0,500.0,direct injection,dohc,yes,76.0,250.0,b,yes,yes,4,automatic
2,OPEL MOKKA 1 2 TURBO 100HP EDITION,OPEL,25400.0, suv/crossover,6.0,5,l,2020,front,fuel engine,gasoline,4.0,100.0,205.0,direct injection,dohc,yes,44.0,188.0,b,yes,no,5,manual transmission
3,JAGUAR XF P250 S,JAGUAR,67805.0, sedan,8.0,5,e,2020,rear,fuel engine,gasoline,4.0,250.0,365.0,direct injection,dohc,yes,74.0,250.0,c,yes,yes,4,automatic
4,JAGUAR XF SPORTBRAKE P250 S,JAGUAR,73805.0, station wagon,8.0,5,e,2020,rear,fuel engine,gasoline,4.0,250.0,365.0,direct injection,dohc,yes,74.0,241.0,d,yes,yes,5,automatic
5,VOLKSWAGEN CADDY CARGO 2 0 TDI 75HP ECONOMY BUSINESS,VOLKSWAGEN,14700.0, van,6.0,2,n,2020,front,fuel engine,diesel,4.0,75.0,250.0,common rail,dohc,yes,55.0,157.0,b,yes,yes,3,manual transmission
6,PEUGEOT 3008 ACTIVE 1 2 PURETECH 130,PEUGEOT,35420.0, suv/crossover,6.0,5,l,2021,front,fuel engine,gasoline,4.0,130.0,230.0,direct injection,dohc,yes,53.0,188.0,b,yes,yes,5,manual transmission
7,PEUGEOT 5008 ACTIVE 1 2 PURETECH 130,PEUGEOT,37920.0, suv/crossover,6.0,7,l,2021,front,fuel engine,gasoline,4.0,130.0,230.0,direct injection,dohc,yes,53.0,188.0,b,yes,yes,5,manual transmission
8,OPEL CROSSLAND 1 2,OPEL,21100.0, suv/crossover,5.0,5,l,2020,front,fuel engine,gasoline,4.0,83.0,118.0,multipoint injection,dohc,no,45.0,170.0,b,yes,no,5,manual transmission
9,JAGUAR E PACE P160 S,JAGUAR,56446.99999999999, suv/crossover,9.0,5,l,2020,front,fuel engine,gasoline,4.0,160.0,260.0,direct injection,dohc,yes,67.0,197.0,c,yes,yes,5,automatic
10,AUDI Q2 35 TFSI PRO LINE,AUDI,35410.0, suv/crossover,6.0,4,l,2020,front,fuel engine,gasoline,4.0,150.0,250.0,direct injection,dohc,yes,50.0,218.0,b,yes,yes,5,manual transmission
11,CUPRA FORMENTOR 310 2 0 TSI 4DRIVE,CUPRA,61465.0, hatchback,7.0,5,c,2020,front+rear,fuel engine,gasoline,4.0,310.0,400.0,direct injection,dohc,yes,55.0,250.0,f,no,no,5,automatic with double clutch
12,RENAULT TALISMAN TCE 140 BUSINESS ZEN,RENAULT,31630.0, sedan,6.0,5,d,2020,front,fuel engine,gasoline,4.0,140.0,260.0,direct injection,dohc,yes,50.0,207.0,a,yes,yes,4,manual transmission
13,RENAULT TALISMAN ESTATE TCE 140 BUSINESS ZEN,RENAULT,32830.0, station wagon,6.0,5,d,2020,front,fuel engine,gasoline,4.0,140.0,260.0,direct injection,dohc,yes,50.0,201.0,a,yes,yes,5,manual transmission
14,VOLKSWAGEN GOLF VARIANT 1 0 TSI 110HP,VOLKSWAGEN,27760.0, hatchback,6.0,5,c,2021,front,fuel engine,gasoline,4.0,110.0,200.0,direct injection,dohc,yes,45.0,202.0,a,yes,yes,5,manual transmission
15,MINI COUNTRYMAN ONE,MINI,31310.0, suv/crossover,6.0,5,l,2020,front,fuel engine,gasoline,4.0,102.0,190.0,direct injection,dohc,yes,51.0,185.0,c,yes,yes,5,manual transmission
16,MITSUBISHI L200 CLUB CAB 2 4 DI D CLEARTEC INVITE,MITSUBISHI,24490.0, pick-up,6.0,2,,2015,front+rear,fuel engine,diesel,4.0,154.0,380.0,common rail,dohc,yes,75.0,169.0,g,no,no,2,manual transmission
17,MITSUBISHI L200 CLUB CAB 2 2 DI D CLEARTEC INVITE,MITSUBISHI,25990.0, pick-up,6.0,2,,2020,front+rear,fuel engine,diesel,4.0,150.0,400.0,common rail,dohc,yes,75.0,174.0,g,no,no,2,manual transmission
18,MITSUBISHI L200 DOUBLE CAB 2 4 DI D CLEARTEC INVITE,MITSUBISHI,60582.0, pick-up,6.0,5,,2015,front+rear,fuel engine,diesel,4.0,154.0,380.0,common rail,dohc,yes,75.0,169.0,g,no,no,4,manual transmission
19,MITSUBISHI L200 DOUBLE CAB 2 2 DI D CLEARTEC INTENSE,MITSUBISHI,31490.0, pick-up,6.0,5,,2020,front+rear,fuel engine,diesel,4.0,150.0,400.0,common rail,dohc,yes,75.0,174.0,g,no,no,4,manual transmission
20,VOLKSWAGEN MULTIVAN L1H1 2 0 TDI 150HP CRUISE,VOLKSWAGEN,89832.00000000001, bus,6.0,7,n,2020,front,fuel engine,diesel,4.0,150.0,340.0,common rail,dohc,yes,70.0,182.0,g,yes,yes,5,manual transmission
21,LEXUS LC 500 CONVERTIBLE,LEXUS,185645.0, coupé,0.0,4,g,2020,rear,fuel engine,gasoline,4.0,464.0,530.0,direct injection,dohc,no,82.0,270.0,g,yes,yes,2,automatic
22,HYUNDAI I30 1 0 T GDI 48V I MOTION,HYUNDAI,24097.0, hatchback,6.0,5,c,2020,front,fuel engine,gasoline,4.0,120.0,172.0,direct injection,dohc,yes,50.0,196.0,a,yes,yes,5,manual transmission
23,HYUNDAI I30 FASTBACK 1 5 T GDI 48V PREMIUM,HYUNDAI,32197.0, hatchback,6.0,5,c,2020,front,fuel engine,gasoline,4.0,160.0,253.0,direct injection,dohc,yes,50.0,210.0,a,yes,yes,5,manual transmission
24,HYUNDAI I30 WAGON 1 0 T GDI 48V COMFORT,HYUNDAI,27697.0, station wagon,6.0,5,c,2020,front,fuel engine,gasoline,4.0,120.0,172.0,direct injection,dohc,yes,50.0,196.0,a,yes,yes,5,manual transmission
25,PORSCHE 911 TARGA 4,PORSCHE,166222.99999999994, coupé,8.0,4,h,2020,front+rear,fuel engine,gasoline,4.0,385.0,450.0,direct injection,dohc,yes,67.0,289.0,g,yes,yes,2,automatic with double clutch
26,FORD TRANSIT L2H2 FWD 2 0 ECOBLUE 130HP MHEV AMBIENTE,FORD,73200.0, bus,6.0,9,n,2020,front,fuel engine,diesel,4.0,130.0,385.0,common rail,dohc,yes,80.0,,b,yes,no,4,manual transmission
27,MORGAN PLUS SIX,MORGAN,124950.0, convertible,8.0,4,,2019,rear,fuel engine,gasoline,4.0,340.0,500.0,direct injection,dohc,yes,46.0,267.0,g,no,no,2,automatic
28,RENAULT MEGANE TCE 115 LIFE,RENAULT,22690.0, hatchback,6.0,5,c,2020,front,fuel engine,gasoline,4.0,116.0,220.0,direct injection,dohc,yes,47.0,192.0,b,yes,yes,5,manual transmission
29,RENAULT MEGANE ESTATE TCE 115 LIFE,RENAULT,23690.0, station wagon,6.0,5,c,2020,front,fuel engine,gasoline,4.0,116.0,220.0,direct injection,dohc,yes,47.0,195.0,b,yes,yes,5,manual transmission
30,BMW 420I COUPE,BMW,51266.00000000001, coupé,8.0,4,g,2020,rear,fuel engine,gasoline,4.0,184.0,300.0,direct injection,dohc,yes,59.0,240.0,b,yes,yes,2,automatic
31,MERCEDES BENZ E 200,MERCEDES,58787.0, sedan,9.0,5,e,2020,rear,fuel engine,gasoline,4.0,197.0,320.0,direct injection,dohc,yes,66.0,240.0,c,yes,yes,4,automatic
32,MERCEDES BENZ E 200 4MATIC ALL TERRAIN,MERCEDES,72672.0, station wagon,9.0,5,e,2020,front+rear,fuel engine,gasoline,4.0,197.0,320.0,direct injection,dohc,yes,66.0,225.0,d,yes,yes,5,automatic
